days elong signed k diam dist
417.5028 31.54150 31.54150 0.853302 12.3345 1.352989
418.4760 31.75140 31.75140 0.851180 12.3812 1.347885
419.4492 31.96064 31.96064 0.849040 12.4285 1.342753
420.4224 32.16921 32.16921 0.846883 12.4764 1.337593
421.3956 32.37711 32.37711 0.844709 12.5250 1.332406
422.3688 32.58433 32.58433 0.842517 12.5742 1.327191
423.3420 32.79086 32.79086 0.840307 12.6241 1.321949
424.3152 32.99670 32.99670 0.838079 12.6746 1.316679
425.2884 33.20183 33.20183 0.835833 12.7258 1.311382
426.2616 33.40625 33.40625 0.833569 12.7777 1.306057
427.2348 33.60996 33.60996 0.831286 12.8303 1.300705
428.2080 33.81293 33.81293 0.828984 12.8835 1.295326
429.1812 34.01517 34.01517 0.826663 12.9375 1.289919
430.1544 34.21666 34.21666 0.824323 12.9923 1.284484
431.1276 34.41739 34.41739 0.821964 13.0478 1.279023
432.1008 34.61736 34.61736 0.819585 13.1040 1.273534
433.0740 34.81655 34.81655 0.817186 13.1610 1.268017
434.0472 35.01495 35.01495 0.814768 13.2188 1.262474
435.0204 35.21256 35.21256 0.812329 13.2774 1.256903
435.9936 35.40935 35.40935 0.809870 13.3368 1.251305
436.9668 35.60532 35.60532 0.807390 13.3970 1.245679
437.9400 35.80046 35.80046 0.804889 13.4581 1.240026
438.9132 35.99475 35.99475 0.802368 13.5200 1.234346
439.8864 36.18818 36.18818 0.799825 13.5828 1.228639
440.8596 36.38074 36.38074 0.797261 13.6465 1.222905
